M_Data.M03.2.0002	NOW
M_Data.M03.2.0344	IT ALSO PROVIDES FOR FUNDS TO CLEAR SLUMS AND HELP COLLEGES BUILD DORMITORIES
M_Data.M03.2.0345	WRITTEN
M_Data.M03.2.0346	NOTHING HAS BEEN DONE YET TO TAKE ADVANTAGE OF THE ENABLING LEGISLATION
M_Data.M03.2.0347	EIGHT
M_Data.M03.2.0348	SIX
M_Data.M03.2.0349	LIMA
M_Data.M03.2.0350	BIT
M_Data.M03.2.0351	SHE WORE WARM FLEECY WOOLEN OVERALLS
M_Data.M03.2.0352	HIM
M_Data.M03.2.0353	SIGN
M_Data.M03.2.0354	SIDE
M_Data.M03.2.0355	I HAVE HAD MY BELL RUNG
M_Data.M03.2.0356	GOLF
M_Data.M03.2.0357	ZERO
M_Data.M03.2.0358	WITCH
M_Data.M03.2.0359	DARN
M_Data.M03.2.0360	BLOAT
M_Data.M03.2.0361	BOTH INJURIES WERE TO THE SAME LEG
M_Data.M03.2.0362	HE FURTHER PROPOSED GRANTS OF AN UNSPECIFIED SUM FOR EXPERIMENTAL HOSPITALS
M_Data.M03.2.0363	CAKE
M_Data.M03.2.0364	FILL
M_Data.M03.2.0365	LEAK
M_Data.M03.2.0367	PAPA
M_Data.M03.2.0368	ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY
M_Data.M03.2.0369	NINE
M_Data.M03.2.0370	MUCH
M_Data.M03.2.0371	HEART
M_Data.M03.2.0372	THORN
M_Data.M03.2.0373	CARL LIVES IN A LOVELY HOME
M_Data.M03.2.0374	CARL LIVES IN A LIVELY HOME 
M_Data.M03.2.0375	AT
M_Data.M03.2.0376	PRETTY
M_Data.M03.2.0377	THERE IS A TREEHOUSE UP ABOVE
M_Data.M03.2.0378	THE BOOKS ARE VERY EXPENSIVE
M_Data.M03.2.0379	WHEN ALL ELSE FAILS USE FORCE
M_Data.M03.2.0380	IF YOU ARE LOSING WATER REPLACE IT IMMEDIATELY
M_Data.M03.2.0381	WE RODE HORSEBACK TO THE FARM
M_Data.M03.2.0382	HITTING
M_Data.M03.2.0383	KNITTING
M_Data.M03.2.0384	FIVE
M_Data.M03.2.0385	ECHO
M_Data.M03.2.0386	START
M_Data.M03.2.0387	QUEBEC
M_Data.M03.2.0388	ONLY LAWYERS LOVE MILLIONAIRES
M_Data.M03.2.0389	WIT
M_Data.M03.2.0390	SIT
M_Data.M03.2.0391	PEOPLE WHO VALUE THEMSELVES ARE LIFE'S WINNERS
M_Data.M03.2.0392	SINK
M_Data.M03.2.0393	MEAT
M_Data.M03.2.0394	VICTOR
M_Data.M03.2.0395	DRESS
M_Data.M03.2.0396	SIN
M_Data.M03.2.0397	DOWN
M_Data.M03.2.0398	EACH ONE VOLUNTEERED TO JUMP FIRST
M_Data.M03.2.0399	YANKEE
M_Data.M03.2.0400	WE BOUGHT A BROWN CHAIR
M_Data.M03.2.0401	SLICKER
M_Data.M03.2.0402	RIGHT
M_Data.M03.2.0403	SAND
M_Data.M03.2.0404	THE WAIT FOR WORK CAN BE VERY LONG
M_Data.M03.2.0405	WICKED
M_Data.M03.2.0406	NOD
M_Data.M03.2.0407	SAID
M_Data.M03.2.0408	TREAD
M_Data.M03.2.0409	UNIFORM
M_Data.M03.2.0410	BEG THAT GUARD FOR ONE GALLON OF GAS
M_Data.M03.2.0411	DREAD
M_Data.M03.2.0412	NED
M_Data.M03.2.0413	WALK
M_Data.M03.2.0414	HAM
M_Data.M03.2.0415	ALTHOUGH ALWAYS ALONE WE SURVIVE
M_Data.M03.2.0416	TANGO
M_Data.M03.2.0417	BREAD
M_Data.M03.2.0418	LEFT
M_Data.M03.2.0419	TIN
M_Data.M03.2.0420	THE PROSPECT OF CUTTING BACK SPENDING IS AN UNPLEASANT ONE FOR ANY GOVERNOR
M_Data.M03.2.0421	WE HAVE AN EXCELLENT TEAM
